Positionarray,Intensity,Time,Bleachtimepoint
,1384.140,,
,1401.173,,
,1480.260,,
,1690.429,,
,1485.947,,
,1584.178,,
,1455.138,,
,1326.354,,
,1238.833,,
,1459.558,,
,1601.784,,
,1530.268,,
,1382.518,,
,1376.460,,
,1274.285,,
,1163.044,,
,1192.813,,
,1442.250,,
,1321.803,,
,1326.472,,
,1303.640,,
,1495.806,,
,1900.663,,
,2510.087,,
,2963.574,,
,3010.596,,
,3052.375,,
,2629.998,,
,2198.920,,
,2399.820,,
,2320.949,,
,1688.444,,
,1603.010,,
,1539.186,,
,1531.465,,
,1505.327,,
,1622.897,,
,1793.036,,
,1777.087,,
,1708.465,,
,1737.768,,
,1677.285,,
,1575.885,,
,1775.623,,
,1589.917,,
,1498.004,,
,1271.139,,
,1395.411,,
,1494.109,,
,1350.029,,
,1491.961,,
,1517.963,,
,1535.797,,
,1537.436,,
,1762.070,,
,1740.323,,
,1698.949,,
,1706.192,,
,1838.698,,
,1776.675,,
,1694.267,,
,1927.067,,
,1790.113,,
,1695.238,,
,1593.670,,
,1394.884,,
,1269.068,,
,1661.924,,
,1547.903,,
,1587.044,,
,1532.796,,
,1508.220,,
,1381.014,,
,1418.150,,
,1353.626,,
,1429.759,,
,1454.217,,
,1246.231,,
,1182.686,,
,1182.341,,
,1300.751,,
,1234.969,,
,1293.409,,
,1250.008,,
,1400.039,,
,1316.948,,
,1262.800,,
,1378.789,,
,1547.721,,
,1512.009,,
,1754.303,,
,1982.863,,
,1791.463,,
,1763.691,,
,1958.224,,
,1725.688,,
,1490.990,,
,1648.508,,
,1642.746,,
,1450.922,,
,1382.771,,
,1449.308,,
,1451.053,,
,1366.007,,
,1388.593,,
,1228.153,,
,1125.407,,
,1180.924,,
,1395.675,,
,1380.836,,
,1483.275,,
,1957.867,,
,2439.252,,
,2886.578,,
,2954.860,,
,3210.055,,
,3319.024,,
,3409.171,,
,3098.833,,
,3126.255,,
,3156.451,,
,3304.890,,
,3035.520,,
,2944.432,,
,2802.364,,
,2629.574,,
,2327.372,,
,2301.252,,
,2432.119,,
,2434.541,,
,2415.469,,
,2231.990,,
,2306.120,,
,2209.708,,
,2172.262,,
,1696.106,,
,1801.890,,
,1932.533,,
,2132.119,,
,2124.265,,
,1948.853,,
,2103.522,,
,1820.751,,
,1595.911,,
,1731.433,,
,1582.412,,
,1579.192,,
,1552.838,,
,2135.999,,
,2079.648,,
,1926.670,,
,2004.343,,
,2160.224,,
,2046.895,,
,2219.443,,
,2148.327,,
,2114.342,,
,1740.823,,
,1664.629,,
,1868.671,,
,1983.924,,
,1921.746,,
,2040.433,,
,1864.064,,
,2081.460,,
,2097.835,,
,2206.414,,
,2273.982,,
,2110.665,,
,2406.004,,
,2429.891,,
,2442.847,,
,2294.455,,
,2290.932,,
,2497.907,,
,2435.973,,
,2517.452,,
,2640.441,,
,3010.606,,
,2747.632,,
,2887.174,,
,2551.795,,
,2662.841,,
,2467.469,,
,2670.070,,
,2669.222,,
,2828.843,,
,2353.780,,
,2369.171,,
,2606.482,,
,2434.321,,
,2646.236,,
,2769.369,,
,2522.702,,
,2426.592,,
,2623.038,,
,2434.090,,
,2229.842,,
,2319.891,,
,2088.789,,
,2064.375,,
,2314.615,,
,2367.065,,
,2304.062,,
,2206.579,,
,2021.952,,
,1945.582,,
,1782.334,,
,1844.881,,
,1950.272,,
,1948.917,,
,2003.678,,
,2315.015,,
,2640.383,,
,2957.989,,
,3128.702,,
,2964.783,,
,3386.664,,
,3348.390,,
,3062.635,,
,2957.358,,
,2886.485,,
,2988.866,,
,2904.221,,
,2687.908,,
,2450.061,,
,2317.421,,
,2337.592,,
,2271.175,,
,2321.203,,
,2203.439,,
,2217.052,,
,2247.256,,
,1981.364,,
,1775.701,,
,1814.180,,
,1923.158,,
,1794.562,,
,2117.702,,
,2312.281,,
,2106.811,,
,1983.230,,
,1695.298,,
,1588.145,,
,1580.852,,
,1761.738,,
,1874.026,,
,1644.647,,
,1686.052,,
,1681.791,,
,2032.035,,
,2088.504,,
,2011.086,,
,1977.402,,
,1981.693,,
,1987.078,,
,1858.131,,
,1948.551,,
,1816.175,,
,1907.603,,
,1645.767,,
,1551.514,,
,1707.950,,
,1677.764,,
,1873.017,,
,2023.601,,
,2042.001,,
,1579.816,,
,1528.663,,
,1627.934,,
,1559.460,,
,1779.717,,
,1640.310,,
,1655.711,,
,1712.194,,
,1783.751,,
,1482.524,,
,1650.091,,
,1827.210,,
,1727.884,,
,1859.125,,
,1837.032,,
,1953.812,,
,1439.199,,
,1621.181,,
,1717.467,,
,1628.163,,
,1507.388,,
,1630.051,,
,1913.033,,
,2043.939,,
,2153.710,,
,2345.343,,
,2257.764,,
,2200.151,,
,2132.244,,
,1864.607,,
,2159.879,,
,2146.119,,
,2017.245,,
,1881.507,,
,1776.527,,
,1937.519,,
,1892.725,,
,1779.511,,
,1584.469,,
,1419.555,,
,1463.082,,
,1662.826,,
,1619.515,,
,1467.874,,
,1650.787,,
,1672.011,,
,1469.399,,
,1426.731,,
,1624.054,,
,1669.626,,
,1619.046,,
,1953.834,,
,1940.962,,
,2394.427,,
,2661.076,,
,2908.956,,
,2766.920,,
,2886.131,,
,2833.441,,
,2909.688,,
,2894.691,,
,2918.018,,
,2838.481,,
,2827.865,,
,3007.135,,
,3005.456,,
,2958.065,,
,2748.178,,
,3078.768,,
,2776.289,,
,2590.172,,
,1119.391,,
,1223.003,,
,1312.243,,
,1526.013,,
,1553.681,,
,1594.574,,
,1842.512,,
,2117.655,,
,2074.227,,
,2087.316,,
,1499.052,,
,1400.684,,
,1432.714,,
,1545.098,,
,1369.249,,
,1275.315,,
,1363.499,,
,1384.454,,
,1429.415,,
,1380.706,,
,1629.562,,
,1567.403,,
,1621.135,,
,1588.284,,
,1531.999,,
,1475.643,,
,1752.872,,
,1665.108,,
,1443.225,,
,1348.558,,
,1328.855,,
,1184.088,,
,1332.977,,
,1406.251,,
,1276.126,,
,1278.374,,
,1333.973,,
,1454.508,,
,1525.189,,
,1850.508,,
,2711.879,,
,3060.623,,
,3060.107,,
,2874.010,,
,2704.086,,
,2564.492,,
,2365.218,,
,2090.382,,
,2046.022,,
,1961.848,,
,1517.137,,
,1752.271,,
,1604.125,,
,1767.960,,
,2058.729,,
,1936.868,,
,1655.485,,
,1720.227,,
,1645.346,,
,1556.153,,
,1525.568,,
,1500.537,,
,1466.128,,
,1384.418,,
,1655.029,,
,1725.609,,
,1632.984,,
,1544.386,,
,1635.037,,
,1581.080,,
,1646.744,,
,1580.076,,
,1609.709,,
,1465.207,,
,1548.123,,
,1786.765,,
,1841.945,,
,1716.630,,
,1677.528,,
,1713.592,,
,1682.159,,
,1489.228,,
,1477.453,,
,1514.970,,
,1619.643,,
,1588.710,,
,1650.970,,
,1632.724,,
,1431.647,,
,1610.462,,
,1371.394,,
,1250.577,,
,1385.719,,
,1234.885,,
,1344.105,,
,1199.117,,
,1250.440,,
,1183.111,,
,1076.326,,
,1143.225,,
,1378.420,,
,1530.669,,
,1640.692,,
,1547.797,,
,1435.521,,
,1626.465,,
,1692.503,,
,1796.027,,
,1936.285,,
,2033.893,,
,1892.256,,
,1844.897,,
,1623.235,,
,1776.283,,
,1664.753,,
,1591.610,,
,1731.612,,
,1622.713,,
,1467.982,,
,1263.016,,
,1352.506,,
,1301.102,,
,1290.425,,
,1218.748,,
,1302.331,,
,1432.736,,
,1518.549,,
,1776.682,,
,2033.846,,
,2665.574,,
,2932.924,,
,3205.900,,
,3401.466,,
,3463.393,,
,3367.178,,
,3130.683,,
,3238.608,,
,3172.805,,
,3330.918,,
,3027.254,,
,2859.834,,
,2767.084,,
,2478.181,,
,2637.845,,
,2448.370,,
,2748.799,,
,2621.005,,
,2288.111,,
,2149.058,,
,2236.667,,
,2207.091,,
,1903.558,,
,1990.867,,
,2016.247,,
,1863.589,,
,1846.332,,
,1857.360,,
,1872.956,,
,1842.831,,
,1716.129,,
,1800.347,,
,1672.865,,
,1867.623,,
,1980.901,,
,2015.816,,
,2081.190,,
,2259.409,,
,2269.785,,
,2180.517,,
,2366.603,,
,2240.864,,
,2116.198,,
,2205.644,,
,2278.910,,
,2160.108,,
,2110.533,,
,1956.473,,
,1848.132,,
,1820.380,,
,1828.628,,
,1788.319,,
,1923.666,,
,1926.660,,
,2068.323,,
,1971.285,,
,2239.065,,
,2417.101,,
,2927.018,,
,2774.510,,
,2498.097,,
,2186.505,,
,2110.825,,
,2210.368,,
,2466.629,,
,2626.095,,
,2908.328,,
,2831.940,,
,2903.824,,
,2718.818,,
,2553.757,,
,2466.731,,
,2560.346,,
,2498.485,,
,2423.393,,
,2496.147,,
,2457.535,,
,2379.976,,
,2404.776,,
,2466.761,,
,2609.085,,
,2706.275,,
,2421.833,,
,2609.816,,
,2291.531,,
,2248.548,,
,2209.107,,
,2155.887,,
,2394.376,,
,2618.161,,
,2552.473,,
,2486.954,,
,2483.441,,
,2243.044,,
,2000.386,,
,2036.329,,
,1902.101,,
,2011.620,,
,1828.521,,
,2151.547,,
,2435.200,,
,2528.016,,
,2714.436,,
,3027.433,,
,2987.390,,
,3434.442,,
,3467.557,,
,3211.771,,
,2966.423,,
,2877.958,,
,2869.209,,
,2810.566,,
,2518.452,,
,2385.761,,
,2168.285,,
,2218.864,,
,2399.877,,
,2703.307,,
,2453.731,,
,2264.974,,
,2030.256,,
,2021.068,,
,2123.448,,
,1848.261,,
,2121.398,,
,2145.911,,
,2082.061,,
,2093.135,,
,2043.536,,
,2050.028,,
,1995.068,,
,1853.445,,
,1666.363,,
,1617.731,,
,1601.588,,
,1788.322,,
,1871.320,,
,1767.521,,
,1796.921,,
,1891.470,,
,1826.141,,
,2095.253,,
,2090.093,,
,1883.286,,
,1660.382,,
,1885.314,,
,1864.017,,
,1775.326,,
,1755.183,,
,1614.029,,
,1771.879,,
,1883.459,,
,2018.055,,
,2083.385,,
,1789.802,,
,1593.239,,
,1388.664,,
,1543.642,,
,1546.970,,
,1918.756,,
,1618.080,,
,1543.453,,
,1511.931,,
,1577.490,,
,1561.365,,
,1750.811,,
,1875.637,,
,2236.198,,
,2100.277,,
,1986.209,,
,1827.372,,
,1655.125,,
,1796.889,,
,1787.504,,
,1847.215,,
,1861.798,,
,2117.157,,
,2108.720,,
,2074.198,,
,2219.681,,
,2319.681,,
,2100.028,,
,1853.160,,
,2068.007,,
,1858.708,,
,1954.420,,
,1716.483,,
,1961.384,,
,1885.425,,
,1924.130,,
,1739.756,,
,1835.752,,
,1716.434,,
,1592.692,,
,1599.118,,
,1679.606,,
,1507.097,,
,1578.660,,
,1614.915,,
,1540.167,,
,1598.263,,
,1679.602,,
,1371.787,,
,1527.631,,
,1493.987,,
,1481.892,,
,1908.085,,
,2083.230,,
,2366.781,,
,2593.953,,
,2935.969,,
,2998.361,,
,2989.295,,
,3003.099,,
,2922.023,,
,2881.312,,
,2735.222,,
,2963.545,,
,3119.152,,
,2828.982,,
,2958.761,,
,2746.436,,
,3087.963,,
,3057.825,,
,2744.878,,
,2509.341,,
,1252.154,,
,1285.223,,
,1196.702,,
,1389.966,,
,1629.796,,
,1650.333,,
,2024.306,,
,2133.366,,
,2162.089,,
,1943.691,,
,1911.047,,
,1532.946,,
,1265.943,,
,1413.290,,
,1617.469,,
,1470.705,,
,1499.607,,
,1526.628,,
,1323.464,,
,1412.671,,
,1449.774,,
,1515.641,,
,1558.909,,
,1448.302,,
,1427.346,,
,1482.364,,
,1646.149,,
,1712.661,,
,1546.396,,
,1350.853,,
,1439.912,,
,1328.473,,
,1341.461,,
,1466.157,,
,1438.617,,
,1416.649,,
,1354.948,,
,1601.625,,
,1557.762,,
,1896.174,,
,2599.871,,
,3135.552,,
,3302.595,,
,3230.340,,
,2997.838,,
,2480.499,,
,2731.466,,
,2729.750,,
,2317.423,,
,2068.480,,
,1757.642,,
,1795.591,,
,1762.628,,
,1826.952,,
,1851.299,,
,1705.065,,
,1564.162,,
,1527.227,,
,1603.995,,
,1814.527,,
,1765.132,,
,1708.018,,
,1554.146,,
,1538.515,,
,1330.265,,
,1478.352,,
,1411.028,,
,1421.458,,
,1583.777,,
,1619.842,,
,1492.657,,
,1848.045,,
,1602.522,,
,1675.684,,
,1638.706,,
,1961.362,,
,1893.398,,
,1889.331,,
,1835.543,,
,1815.880,,
,1939.464,,
,1482.294,,
,1536.365,,
,1669.349,,
,1661.209,,
,1615.257,,
,1570.869,,
,1535.494,,
,1665.227,,
,1457.826,,
,1569.697,,
,1642.441,,
,1508.088,,
,1284.690,,
,1219.295,,
,1338.555,,
,1170.429,,
